id,category,source_zh,reference_ja
017,linguistics,你不用和我花马吊嘴的。清水下杂面，你吃我看。,あなた、なにもわたくしにそんな心にもないお上手をおっしゃることはありませんのよ。わたくしたちは『真水で煮こんだ雑麺---食べられるなら食べてみろ』ですわ。
018,linguistics,宝钗便顺着游廊来至房中，只见外间床上横三竖四，都是丫头们睡觉。,宝釵はそのまま廻廊づたいに部屋まできましたが、なんと外の間の寝台では、てんでに自堕落な恰好で侍女たちが揃って午睡のさいちゅう。
019,linguistics,田舍之家，虽童盐布帛，终能聚天伦之乐。,田舎の百姓家では、食事や衣服こそ粗末であっても、天倫の楽しみをまっとうすることができます。
020,linguistics,俗语说，朝廷还有三门子穷亲戚呢，何况你我。,ほら、ことわざにもいうとおり、『天子さまにも三軒は貧乏な親類』とか。おたがいの身ともなればなおさらのことですわ」
021,material,王子腾那边，仍是一套衣服，一双鞋袜，一百寿桃，一百束上用银丝挂面；,王子騰のもとからは、例によって衣服一襲・靴下一足・寿桃（誕生祝いに送る小麦粉の桃）百個・宮中用素麵百束が届きます
022,material,这红玉也不梳洗，向镜中胡乱挽了一挽头发，洗了洗手，腰内束了一条汗巾子便来打扫房屋。,紅玉とておちおち身づくろいなどしてはおられず、そうそうに鏡に向かって髪をわがね、手を洗い、腰帯をしめるなり、部屋の掃除にやってきました。
023,material,黛玉喝了两口稀粥，仍歪在床上。,黛玉、三口三口重湯をすすると、もとのように寝台に横たわります。
024,material,一进门，只见两边翠竹夹路，土地下苍苔布满，中间羊肠一条石子漫的路。,門をはいったとっつきは、両側が緑の植え込みではさまれた路地になっていて、地面には苔が一面につき、そのあいだをくねくねと砂利道が走っています。
025,material,两边又有一副对联,両脇にはまた一組の対聯（合わせ文句）があります
026,material,麝月又捧过一小碟法制紫姜来，宝玉噙了一块。,麝月がこんどは精製した生姜を盛った小皿を持って出ますと、宝玉はその一きれを口にふくみました。
027,material,昨儿我开库房，看见大板箱里还有好些匹银红蝉翼纱也有各样折枝花样的，也有流云卍福花样的，也有百蝶穿花花样的，颜色又鲜，纱又轻软，我竟没见过这样的。,実は昨日、わたくしがお庫を開けましたとき、大のなかにまだそれは何足も銀紅色（紅梅色）の蟬翼紗がはいっているのを見かけました。いろいろな切り花模様のもございましたし、流雲卍福（万福）の模様のも、百蝶が花に群れた模様のもございましたが、色が鮮かなうえに、紗の地の軽くてしなやかなことと申したら、わたくし、これまでこんな手のは目にしたこともございません。
028,material,拢着头发，掩着怀，穿一件片锦边琵琶襟小紧身。,見れば髪を続きながらで、着物の前は合わせたきり紐も留めてなく、錦糸でへりを取った琵琶襟（大襟が服の下までゆかずに胸の前で合わせる形式の襟）の小さな襦袢を着用している
029,material,宝琴披着凫靥裘站在那里笑,鳧の毛の装をはおった宝琴がそこに立って笑っています。
030,material,有个赤金点翠的麒麟,翡翠の毛をはりつけた金無垢の麟麟がある
031,material,只见两边配殿，皆有匾额对联一时看不尽许多。,両脇の配殿には、みな額や聨がかかっていますが、おびただしい数でちょっとやそっとでは見尽くせないほど。
032,material,枣泥馅的山药糕,のつぶし餡入りの山薬の糕子（蒸し菓子）
033,material,金桂的母亲便依着宝蟾的所在取出匣子，只有几支银簪子,金桂の母親がさっそく宝蟾のいった場所から問題の小箱を取り出してみたところ、銀の簪が何本かはいっているだけでした。
034,material,明日乃是腊八，世上人都熬腊八粥,明日は臘八（旧暦十二月八日）ゆえ、世の人間どもはみな臘八粥（七宝粥）をたくとしたものだ。
035,material,一时回来，果然写了个五百两银子欠契来。,まもなく引き返してきましたが、なるほど銀五百両の借用証文をごしらえてきていました。
036,material,散押岁钱荷包金银锞；摆上合欢宴来，男东女西归坐，献屠苏酒、合欢汤、吉祥果、如意糕毕。,そこで押歳銭（大晦日に長上から子供に取らせるお年玉の金。穴あき銅銭百枚を赤紙で通してある）・中着・金銀の小粒などを分けて取らせます。また合歓宴の宴席を設けて、男は東の、女は西の席につき、屠蘇酒・合歓湯（スープ）・吉祥果（果物）・如意糕（蒸し菓子）を献じ終えました。
037,material,案上设着武则天当日镜室中设的宝镜。一边摆着飞燕立着舞过的金盘，盘内盛着安禄山掷过伤工太真乳的木瓜。上面设着寿昌公主于含章殿下卧的榻，悬的是同昌公主制的连珠帐。,卓上には、天武后（唐の女傑、高宗の皇后でのち周の国を建て女帝となった）がむかし化粧部屋に備えておいたという宝鏡が置かれ、片はしには飛燕（趙飛燕。前漢の成帝の后。妹の合徳と寵を争ったという）が上に立って舞ったという黄金の大皿がすえられ、そのなかには安禄山（前出）が投げつけて太真（楊貴妃一前出ーの道号）の乳房に傷を負わせたという木瓜が盛ってあり、上座には寿昌公主が含章殿（宮殿の名）の軒下で臥せったという長椅子がしつらえられ、そこにかかっているのは同昌公主手づくりの真珠を連ねた帳、といったぐあい。
038,material,另换了三四个衣帽周全十七八岁的小厮上来，复抬起轿子，众婆五步下围随，至一垂花门前落下。,するとこんどは別に三、四人、お仕着せ姿をした十七、八の若党が交替にきて、また輪をかきあげ、老女たちがその囲りをとりまくようにして徒歩でついてゆき、垂花門（正門をはいった中門、二の門。垂花のかざりがあるのでいう）まできて幅をおろしました。
039,material,两边是抄手游廊，当中是穿堂，当地放着一个紫檀架子的大理石的大插屏。,その両側は腕で抱えこんだ恰好の廻り廊下、中央は穿堂（通り抜けできる部屋）になっていて、床には紫檀の台つきの大理石の大扉がすえてあります
040,material,说着，一个上来解荷包，那一个解扇囊，不容分说，将宝玉所佩之物尽行解去。,そういって、なかのひとりが近づいて巾着をはずしにかかれば、別のひとりは扇子袋をはずしはじめるといったぐあいに、否応なしに宝玉の身につけた佩げものという佩げものを残らずむしり取ってしまいました
041,ecology,此刻忽见宝玉笑问道：“宝姐姐，我瞧瞧你的红麝串子？,宝玉はにこにこしながら、「宝釵お姉さま、あなたの分の赤い香りの香珠、わたしに拝ませてくださいよ」と言い出すのでした。
042,ecology,刘姥姥道：“这个菜里有毒，俺们那些都成了砒霜了。那怕毒死了，也要吃尽了。”,劉婆さんは答えて、「このご馳走に毒がはいっておるちゅうことになりますると、てまえどもの料理なんぞは、砒霜（砒素の化合物、毒物）の塊ってえことになっちまいますわい。たとい毒で死のうとも、ご馳走さえ平らげられたら本望でございます」
043,ecology,贾芸看时，只见院内略略有几点山石，种着芭蕉，那边有两只仙鹤在松树下剔翎。,芸が眺め渡しますと、院内のあちこちには点々と庭石が配置され、芭蕉が植わり、あちらの方には松の木のもとで鶴が二羽、羽づくろいをしています。
044,ecology,那草本在灵河岸上，名曰“绛珠草”。因那时萎败，幸得一个神瑛侍者日以甘露灌溉，得以长生。,この草はもと霊河の岸辺に生えていた『絳珠草』という名の草なのです。その時分にはしおれかかっていたのを、さいわいにも神瑛侍者とおっしゃるかたが日ごとに甘露を注いでやられ、お蔭を蒙って久遠の生命を延ぶることがかなうようになりました。
045,ecology,当日娥皇女英洒泪在竹上成斑，故今斑竹又名湘妃竹,そのむかし、娥皇・女英（舜の二妃）の二人が竹の上に涙をこぼしたところ、その痕が斑点になったとか、それがもとでいまも斑竹を別名、湘妃竹と申します。
046,ecology,只见晴雯如得了世露一般，一气都灌下去了。,すると晴雯はさながら甘露でも得たかのように、一気にこれを咽喉に流しこむのでした。
047,ecology,便不免有蒹葭倚玉之叹，红颜寂寞之悲。,ついまた蒹葭倚玉の嘆き、紅顔寂寞の悲しみを抱かずにはいられません。
048,ecology,想来这一段故事比历来风月故事更加琐碎细腻了。,してみると、この物語、ありきたりの恋愛物などよりはぐんと筋が入りくみ、こまやかさも増していようというもので・・・・・・
049,ecology,那畸角上我有一个花冢。,あの隅の方に、わたくし、花塚をこしらえてあります
050,ecology,这是上好的胭脂，拧出汁子来，淘澄净了渣滓，配了花露蒸叠成的。,この方は極上の脂で、しぼった汁を澄ませて渣津をとり、化粧水を配合して蒸溜したものですよ細い手の簪でほんのすこし掻い
051,ecology,“此酒乃以百花之蕊、万木之汁，加以麟髓之醅、风乳之麴酿成，因名为‘万艳同杯’。”,「このお酒は、百花の燕と万木の汁に麒麟の髄の酷と鳳凰の乳の麹とを合わせてかもしたもの、それでその名も『万艶同杯』というのです」
052,ecology,早起沏了一碗枫露茶,今朝、楓露茶を一杯淹れたろ 。
053,ecology,这叫做鲛绡帐。这就是绞丝所织。,これは鮫綃帳と申すものです。これは鮫糸で織ったものです
054,ecology,忽见宝玉在梦中喊骂，说：“和尚道士的话如何信得！什么是金玉姻缘，我偏说是木石姻缘”,突然、宝玉が寝言でどなりだしました。「坊主や道士のいうことなど真に受けてどうします！金玉の姻縁だなんて、なんのことだ。わたしの頭にはあくまでも木石の姻縁しかないのにこ」
055,ecology,后来既受天地精华，复得雨露滋养，遂得脱却草胎木质得换人形，仅修成个女体，终日游于离恨天外，饥则食蜜青果为膳，渴则饮灌愁海水汤。,のちには、もともと天地の精気を受けて生まれついたうえに雨露を身の養いとしたせいで、草木のかたちを脱して人間の姿をとるに至り、なにやら女人らしき姿を現じて、ひねもす離恨天の外に遊びにでかけ、腹がすけば蜜青果を食べて代わりにし、咽喉がかわけば灌愁海の水を飲んで吸物に代えるというふう。
056,ecology,原来是个白绫红里的兜肚上面扎着鸳鸯戏莲的花样，红莲绿叶，五色鸳鸯。,それは白の綾子に赤地の裏をつけた肚掛で、表には鴛鴦が蓮に戯れている図ー一赤い蓮に緑の葉、それに五曲の鴛鴦をあしらったものーがぬいとってあります。
057,ecology,我不吃六安茶,「わしは六安茶（安徽省霍山県---昔、六安郡に属した---産の銘茶）は飲まないのだよ」
058,ecology,每日早起，拿上等燕窝一两，冰糖五钱，用银铫子熬出粥来。,毎朝、上等の燕窩（海つばめの巣。燕巣）一両分と氷砂糖五銭分とを、銀の銚子で煮いてお粥にこしらえなさい。
059,ecology,宝玉一见那人面如傅粉，唇若涂朱，鲜润如出水芙渠，飘扬似临风玉树。,宝玉、かの人物に目をくれますと、面は白粉を掃いたるかのよう、唇は朱を注したるかと見紛うほど。その鮮かにも潤いあるさまは水より出でたる芙蓉さながら、その飄り揚がるさまは風に臨みし玉樹にさも似たり・・・・・。
060,ecology,秋霖霢霢，阴晴不定,秋の長雨はしとしとしとしと、降りみ降らずみの定めなさ。
061,religion,刘姥姥道:“ 阿弥陀佛! 全仗嫂子方便了。”,「南無阿弥陀仏、南無阿弥陀仏。なにからなにまで嫂さんのお世話になりまするな」
062,religion,赵姨娘叹口气道：“阿弥陀佛！我手里但凡从容些，也时常的上个供。只是心有馀力不足。”,やれやれ！手もとにいま少しゆとりがあれば、しょっちゅうお供えもさせていただけるのに、『気はあれども力たらず』というところでしてね
063,religion,风姐听了这话，便发了兴头，说道：“你是素日知道我的，从来不信什么是阴司地狱报应的。,無鳳はこのことばを聞いてつい釣りこまれ、「あなたはかねがねこのわたしという人間をご存じのはず、閻魔の庁だの地獄の応報だのはついぞじたこともないわたしですもの」
064,religion,那仙姑笑道：,仙女は笑いながら
065,religion,因为老爷太太思念不尽，便盖了这祠堂，塑了这茗玉小姐的像，派了人烧香拨火。如今日久年深的，人也没了，庙也烂了，那像就成了精。,お旦那も奥様もそのお嬢さまのことがしのばれてならず、その祠を建てなさって、その若玉さまのお像をこしらえ、堂守を置いて、お線香を上げ、香煙の火を絶やさぬようになされました。ところが今日日ではだいぶ年もたちましたこととて、堂守も世を去り、祠は見る影もなし。はてはそのお像が化けて出るという次第でして・・・
066,religion,还打发个人到水月庵，说老爷的谕：除了上坟烧纸，若有本家爷们到他那里去，不许接待。,そして誰か使いを水月庵へ出し、お殿様のご沙汰だから、といってこう伝えさせなさい---墓参のときは別として、もしもお屋敷の殿方がそちらへ立ち寄られるようなことがあったとしても、おもてなしの儀はまかりならぬ。
067,religion,悬于卧室上槛，将他二人安在一室之内，除亲身妻母外，不可使阴人冲犯。,これをご寝所の鴨居につるし、このおふたりをばその一つ部屋のうちに休ませられ、妻女・母御のご本人以外、女性を立ち入らせて汚したりなさらぬ
068,religion,此方人家多用竹篱木壁，大抵也因劫数，于是接二连三，牵五挂四，将一条街烧得如火焰山一般。,いったいこの地方の人家は、竹の垣、木の壁というのが大部分、まずはそういう不運なめぐりあわせだったのか、あっというまにつぎつぎと火の手がまわり、一つの街筋が火燄山（『西遊記』に見える）さながらの焼けざま。
069,religion,当下众人七言八语：有的说请公送祟的，有的说请巫婆跳神的，有的又荐什么玉皇阁的张真人，种种喧腾不一。,そのとき、一同のなかからはさまざまな説が飛び出し、ある者は祈禱師を招いて祟りをはらおうと主張し、ある者は巫女を呼んで神おろしをしようと唱え、またある者は玉皇閣の張真人とやらを推薦するといったふうで、ああでもない、こうでもないといやはやうるさいこと。
070,religion,“把他两个的年庚八字写在这两个纸人身上，一并五个鬼都披在他们各人的床上就完了。”,「あのふたりの生年・月・日・時刻の千支の八字をこの二つの形代に書きこみましてな、五匹の鬼といっしょにあのふたりのめいめいの寝台にはさんでおけばそれでよろしい。」
071,religion,马道婆道：“这个容易，只是替他多做些因果善事也就罢了。再那经上还说：西方有位大光明普照菩萨，专管照耀阴暗邪祟。若有善男子善女人虔心供奉者，可以永佑儿孙康宁安静，再无惊恐邪祟撞客之灾。”,「それなればたやすきこと。そのおかたのためにできるだけ功徳をお積みになればそれでよろしいのでござります。なおまたお経にはこうも見えておりまする一一西方に大光明普照菩薩と仰せられるみ仏がましまして、もっぱら目に見えぬ選き物を照らしはらうをお役目としておられます。もし善男善女にして信心深く供養する者があれば、幾久しくその子孫を安穏息災に守っておやりになり、またと恐ろしい目に会うたり、なんぞに祟られたり、憑き物がしたりといった災難が降りかからぬよう、守ってくださるよしにござりまする」と、道婆。
072,religion,那晚各处佛堂灶王前焚香上供。,その晩、各所の仏堂や竈神（わが国の荒神に当たる）の前では、香を焚き供物を供えます。
073,religion,“我昨日叫赖升媳妇出去叫人给宝玉算算命。这先生算得好灵，说要娶了金命的人帮扶他，必要冲冲喜才好。不然只怕保不住。”,わしは昨日、頼昇の家内を街へつかわして宝玉のことを占わせてみたのだが、その占い者の立てた卦というのがぴったりなのだよ---金の性の者を嫁にとって連れ添わせなさい。どうしてもここでひとつ縁起直しせぬことにはいかん。でないと恐らくは生命も保つまい、とこういったそうだ。
074,religion,天地间都赋阴阳二气所生，或正或邪，或奇或怪，千变万化，都是阴阳顺逆。,この天と地とのあいだにあるものは、なんだってみな陰と陽との二つの『気』をうけて生じたものでしょう。正だとか邪だとか、奇だの怪だのと、とりどりの形はとっていても、すべて陰陽の順逆のさせるわざなのね。
075,religion,贾珍便命贾琼，责琛、贾璘、贾蔷四个人去陪客，一面吩咐去请钦天监阴阳司来择日。,に言いつけて客の応対に当たらせることとし、一方では使いをやって欽天監（天文暦法をつかさどる役所）の陰陽司の係（陰陽生、後出。易占をつかさどる）に日柄を見たてさせます。
076,religion,“此离吾境不远，别无他物，仅有自采仙茗一盏，亲酿美酒一瓮，素练魔舞歌姬数人，新填红楼梦仙曲十二支。试随吾一游否？”,ここからわたしの住む里までは遠くもなし、格別これといっておもてなしもできませぬけれど、手製の仙茶一杯、手づくりの美酒二かめなりとさしあげましょう。天魔の舞い（唐代宮廷に始まる群舞の名）もこなす歌姫が幾人かおりますから、新作の『紅楼夢』仙曲十二曲も演させます。いかが、わたしについて遊びにきてみませぬか？」
077,religion,过了一日，就有宝玉寄名的干娘马道婆进荣国府来请安。,それから一日して、宝玉の名付け親の馬という道婆が栄国邸へご機嫌伺いに顔を見せました。
078,religion,你舅舅今日斋戒去了,伯父さんは今日はお役で斎戒にお出かけになってお留守なの。
079,religion,风姐身体未愈，虽不能时常在此，或遇开坛诵经，亲友上祭之日，亦扎挣过来，相帮尤氏料理。,熙鳳は身体がまだ本当でなく、常時こちらに詰め切りとまではゆかないものの、祭壇を開き経を上げる日、親類友人が詣りにくる日などには、やはり無理をしてでも出向いて、尤氏に力を貸して諸事を取りしきります。
080,religion,若果有善根能醒悟，即可以超脱轮回。,もしも善根を積みまして悟りが開けましたならば、ついに輪廻の宿命をも脱することができまする。
081,society,我们合家大小登门去磕头。,わたくしども家中揃ってお宅に伺い叩頭させていただきます
082,society,有两个时辰工夫忽见赖大等三四个管家喘吁吁跑进仪门报喜。,二時（四時間）ほどして、突然、頼大ら三、四人の執事たちが息せき切って儀門から駆けこんできたかと思うと、吉報をもたらしました
083,society,他是我们这里有名的一个泼皮破落户儿，南省俗谓作辣子。,これはうちでは聞こえたお転婆の破落戸、江南の方なら俗に『辣子』というやつよ
084,society,凤姐见还有几个妯娌陪着女亲，自己便辞了众人，带了宝玉秦钟往水月庵来。,熙鳳はほかのいくたりかの相嫁たちが親戚の女連の相手を務めていてくれるのを見て取り、自分は一同に挨拶を済ませると、宝玉・秦鐘を引き連れて水月庵へやってきます。
085,society,平儿便福下去，宝玉作揖不迭。,平児がそこで「万福（女子の敬礼のときのことば）」といってお辞儀をしますと、宝玉は遅れじ揖礼（手を挟いて上下する男子の敬礼法）を返します。
086,society,无谕，外男不敢擅入,ご沙汰のない限り、かかわりなき男子はみだりにお目通りにあがらせないようにいたしております
087,society,宝玉笑道：“每人一吊钱”,宝玉は笑いながら、「ひとりに千文ずつも出そうかね」
088,society,但昨儿听见老太太说，问起大家的年纪生日来，听见薛大妹妹今年十五岁，虽不是整生日，也算得將笄之年。,それが昨日、ご後室さまから、おはなしのついでに、みなさんのお年齢やお誕生日につきおたずねがあり、それだと宝釵さんは今年十五歳になったと申しますから、ちょうどの誕生日（十歳とか、満二十歳とかの）とまではいかなくとも、笄を上げる年（女子の成年一十五歳）に当たるわけですわ。
089,society,好色即淫，知情更淫。是以巫山之会，云雨之欢皆由既悦其色，复恋其情之所致也。,色を好むということ自体にほかならず、情を知るとなればなおのことというものでしょうよ。それゆえ、『巫山の逢瀬、雲雨の楽しみ』などというのは、みなその色に迷いこんだあげく、さらにその情まで恋うるところから、ついにはそこまでゆくのです。
090,society,宝玉早滚到贾母怀里，贾母笑的搂着宝玉叫“心肝”,宝玉は早くも後室の懐めがけてころがりこみ、その後室も笑いながら宝玉を抱きしめて、「愛いやつ」
091,society,他又成了香饽饽了，都抢不到手。,あのひとはほかほか饅頭（人気者の意）なってしまい、奪い合いでめったに手にははいらないね
092,society,“孽障！你生气，要打骂人容易，何苦摔那命根子！”,「この罰あたりめが！おまえ、かんしゃくを起こしたら、人をぶつたりどなりつけたりするのだってたやすいのに、選りに選ってその命の綱も同然の品を投げつけてなんとする？」
093,society,虽有儿房姬妾，奈他命中无子，亦无可如何之事。,幾人か側室を置いてはあっても、なにせ跡取りに恵まれないのですから、これはなんとも仕方がありません。
094,society,“唱戏的女孩子自然是狐狸精了”,「河原者の女の子だ、むろん狐のお化けに決まっています」
095,society,天地生人，除大仁大恶两种，馀者皆无大异。若大仁者，则应运而生；大恶者，则应劫而生。运生世治，劫生世危。尧、舜、禹、汤、文、武、周、召、孔、孟、董、韩、周、程、张、朱，皆应运而生者。蚩尤、共工、桀、纣、始皇、王莽、曹操、桓温、安禄山、秦桧等，皆应劫而生者。,ぜんたいこの世に生まれいでた人間というものは、大仁者と極悪人との二種を別にすれば、ほかはまずどれも大差のないものさ。してその大仁者というのはよい星の下に生まれたものだし、極悪人とは因果な星の下に生まれたもの。よい星をもって生まれた者がおれば世が治まり、因果な星をもって生まれた者がおれば世が乱れる。尭・舜・禹・湯王・文王・武王・周公・召公・孔子・孟子・董仲舒・韓魚・周敦願・程兄弟・張載・朱子（朱熹）といったかたがたは、いずれも好運に恵まれて生まれたお人ばかり、蚩尤・共工・桀王・王・始皇帝・王葬・曹操・桓温・安禄山・秦檜といった連中は、すべて悪運を負って生まれた人間なのだね。
096,society,那些纨袴气习者，莫不喜与他来往。,だいたいが例の貴族の子弟気質に染まったものばかりとあって、彼とつきあうのを喜ばない者はいません。
097,society,那金桂原是个水性人儿，那里守得住空房,かの金桂は根が浮気性の女ですので、とうていながく空間を守ってゆけたものではない
098,society,父亲已没，只有母亲，又继了一个混帐儿子把家业都花完了。,父親はすでに亡くなり、母親ひとり健在でしたが、またとんでもない養子を迎えたため、この男が身代をばすっかり磨りつぶしてくれました。
099,society,只可惜这林家支庶不盛。子孙有限，虽有几门，却与如海俱是堂族而已，没甚亲支嫡派的。,この林家は一族が繁盛せず、子孫にも恵まれません。親戚の何軒かはありましても、如海とおなじく女ばかりで、正系の男の子孫というのがないのです。
100,society,宝玉今日得了这句话，越发得了意，不但亲戚朋友一概杜绝了，而且连家庭中晨昏定省一发都随他的便了,宝玉は、今日このことばに接して、もう鬼の首を取ったも同然、親戚友人の誰ともふっつりつき合わなくなったばかりか、家庭での朝晩の挨拶まで、いよいよもって気儘にするようになりました。
